yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX34914.1	A0A2B4SW56	A0A2B4SW56_STYPI	unreviewed	Helicase ARIP4	Rad54l2 AWC38_SpisGene54	Stylophora pistillata (Smooth cauliflower coral)	1366	ATP binding [GO:0005524]; helicase activity [GO:0004386]	GO:0004386; GO:0005524	
PFX34335.1	A0A2B4T123	A0A2B4T123_STYPI	unreviewed	NACHT and WD repeat domain-containing protein 1	Nwd1 AWC38_SpisGene869	Stylophora pistillata (Smooth cauliflower coral)	1743			
PFX23751.1	A0A2B4S1G7	A0A2B4S1G7_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene11664	Stylophora pistillata (Smooth cauliflower coral)	1555	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX12947.1	A0A2B4R9A4	A0A2B4R9A4_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene23017	Stylophora pistillata (Smooth cauliflower coral)	913	integral component of membrane [GO:0016021]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0016021	
EDO35900.1	A7SK58	A7SK58_NEMVE	unreviewed	Predicted protein (Fragment)	v1g121303	Nematostella vectensis (Starlet sea anemone)	266			
PFX15057.1	A0A2B4RFD7	A0A2B4RFD7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20742	Stylophora pistillata (Smooth cauliflower coral)	628			
PFX15353.1	A0A2B4REW7	A0A2B4REW7_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene20433	Stylophora pistillata (Smooth cauliflower coral)	359			
GBO10909.1	A0A4Y2UE29	A0A4Y2UE29_ARAVE	unreviewed	Uncharacterized protein	AVEN_172877_1 AVEN_176766_1 AVEN_98551_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	415			
PFX13617.1	A0A2B4RB74	A0A2B4RB74_STYPI	unreviewed	CD209 antigen-like protein E	Cd209e AWC38_SpisGene22283	Stylophora pistillata (Smooth cauliflower coral)	1062	calcium ion binding [GO:0005509]	GO:0005509	
PFX16682.1	A0A2B4RKB6	A0A2B4RKB6_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene19033	Stylophora pistillata (Smooth cauliflower coral)	706	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX32232.1	A0A2B4SUJ9	A0A2B4SUJ9_STYPI	unreviewed	von Willebrand factor D and EGF domain-containing protein	VWDE AWC38_SpisGene2839	Stylophora pistillata (Smooth cauliflower coral)	1036	integral component of membrane [GO:0016021]; intein-mediated protein splicing [GO:0016539]	GO:0016021; GO:0016539	
PFX15944.1	A0A2B4RC66	A0A2B4RC66_STYPI	unreviewed	FYVE, RhoGEF and PH domain-containing protein 6	Fgd6 AWC38_SpisGene19812	Stylophora pistillata (Smooth cauliflower coral)	1836	guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]	GO:0005085; GO:0046872	
EDO43021.1	A7RZX1	A7RZX1_NEMVE	unreviewed	Predicted protein	v1g204637	Nematostella vectensis (Starlet sea anemone)	303			
EDO30578.1	A7T0C7	A7T0C7_NEMVE	unreviewed	Cilia- and flagella-associated protein 299	v1g227643	Nematostella vectensis (Starlet sea anemone)	233			
PFX28851.1	A0A2B4SG48	A0A2B4SG48_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6459	Stylophora pistillata (Smooth cauliflower coral)	171			
PFX18409.1	A0A2B4RNQ2	A0A2B4RNQ2_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	Ret AWC38_SpisGene17227	Stylophora pistillata (Smooth cauliflower coral)	856	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
RMX56486.1	A0A3M6US32	A0A3M6US32_9CNID	unreviewed	Uncharacterized protein	pdam_00014940	Pocillopora damicornis	612			
EDO30511.1	A7T0K3	A7T0K3_NEMVE	unreviewed	Predicted protein (Fragment)	v1g140527	Nematostella vectensis (Starlet sea anemone)	173	NELF complex [GO:0032021]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]	GO:0032021; GO:0034244	
EDO32877.1	A7STU1	A7STU1_NEMVE	unreviewed	Predicted protein (Fragment)	v1g131493	Nematostella vectensis (Starlet sea anemone)	123	cytosol [GO:0005829]; glyoxylate reductase (NADP) activity [GO:0030267]; hydroxypyruvate reductase activity [GO:0016618]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0005829; GO:0016616; GO:0016618; GO:0030267; GO:0051287	
PFX33970.1	A0A2B4SYL5	A0A2B4SYL5_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)	Tf2-9 AWC38_SpisGene1044	Stylophora pistillata (Smooth cauliflower coral)	1008	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX24127.1	A0A2B4S6B5	A0A2B4S6B5_STYPI	unreviewed	Coiled-coil domain-containing protein 62	CCDC62 AWC38_SpisGene11285	Stylophora pistillata (Smooth cauliflower coral)	1180			
PFX14514.1	A0A2B4R847	A0A2B4R847_STYPI	unreviewed	Chromatin modification-related protein YNG2	YNG2 AWC38_SpisGene14797 AWC38_SpisGene21321 AWC38_SpisGene8738	Stylophora pistillata (Smooth cauliflower coral)	574	metal ion binding [GO:0046872]	GO:0046872	
AAI59002.1	B0JZ18	B0JZ18_XENTR	unreviewed	FGE-sulfatase domain-containing protein (Fragment)		Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	273			
RMX43081.1	A0A3M6TP35	A0A3M6TP35_9CNID	unreviewed	Uncharacterized protein	pdam_00006899	Pocillopora damicornis	307			
AIE48224.1	A0A075EIL5	A0A075EIL5_MYAAR	unreviewed	GagPol		Mya arenaria (Soft-shell clam)	1335	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	
PFX17076.1	A0A2B4RIR2	A0A2B4RIR2_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene18619	Stylophora pistillata (Smooth cauliflower coral)	1211	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX13068.1	A0A2B4R9K0	A0A2B4R9K0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22878	Stylophora pistillata (Smooth cauliflower coral)	849	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]	GO:0003677; GO:0016021	
PFX16575.1	A0A2B4RJZ1	A0A2B4RJZ1_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene19144	Stylophora pistillata (Smooth cauliflower coral)	746	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX53793.1	A0A3M6UJD0	A0A3M6UJD0_9CNID	unreviewed	MFS domain-containing protein	pdam_00000374	Pocillopora damicornis	109	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	
PFX11517.1	A0A2B4R580	A0A2B4R580_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene24713	Stylophora pistillata (Smooth cauliflower coral)	897	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
KAF0292609.1	A0A6A4VHK0	A0A6A4VHK0_AMPAM	unreviewed	Peptidase A2 domain-containing protein	FJT64_009428	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	964			
PFX31899.1	A0A2B4SS10	A0A2B4SS10_STYPI	unreviewed	Helicase with zinc finger domain 2	Helz2 AWC38_SpisGene3263	Stylophora pistillata (Smooth cauliflower coral)	3213	helicase activity [GO:0004386]; metal ion binding [GO:0046872]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]	GO:0003723; GO:0004386; GO:0004540; GO:0046872	
PFX22615.1	A0A2B4S297	A0A2B4S297_STYPI	unreviewed	Cornifelin-like	cnfn AWC38_SpisGene12883	Stylophora pistillata (Smooth cauliflower coral)	214			
RMX47770.1	A0A3M6U2B3	A0A3M6U2B3_9CNID	unreviewed	Uncharacterized protein	pdam_00011793	Pocillopora damicornis	280	integral component of membrane [GO:0016021]	GO:0016021	
KPP76569.1	A0A0N8K227	A0A0N8K227_SCLFO	unreviewed	Putative E3 ubiquitin-protein ligase HERC4 (Fragment)	Z043_104076	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	995	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
RWS27072.1	A0A443SHV4	A0A443SHV4_9ACAR	unreviewed	Lipin-3-like protein	B4U80_10409	Leptotrombidium deliense	590			
PFX32339.1	A0A2B4STA7	A0A2B4STA7_STYPI	unreviewed	HECT domain-containing protein	AWC38_SpisGene2805	Stylophora pistillata (Smooth cauliflower coral)	1652	DNA binding [GO:0003677]; ubiquitin-protein transferase activity [GO:0004842]	GO:0003677; GO:0004842	
KOF90344.1	A0A0L8HMH8	A0A0L8HMH8_OCTBM	unreviewed	Uncharacterized protein	OCBIM_22011415mg	Octopus bimaculoides (California two-spotted octopus)	191			
PFX12196.1	A0A2B4R4W7	A0A2B4R4W7_STYPI	unreviewed	ATP-dependent DNA helicase RecG (Fragment)	recG AWC38_SpisGene23884	Stylophora pistillata (Smooth cauliflower coral)	566	helicase activity [GO:0004386]	GO:0004386	
PFX34366.1	A0A2B4SYJ2	A0A2B4SYJ2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene650	Stylophora pistillata (Smooth cauliflower coral)	556			
RDD46640.1	A0A369SIF4	A0A369SIF4_9METZ	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	TrispH2_000931	Trichoplax sp. H2	515	integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	GO:0015020; GO:0016021	
EDO36971.1	A7SH22	A7SH22_NEMVE	unreviewed	Predicted protein (Fragment)	v1g118173	Nematostella vectensis (Starlet sea anemone)	239	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; synapse [GO:0045202]; extracellular ligand-gated ion channel activity [GO:0005230]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]	GO:0004888; GO:0005230; GO:0005887; GO:0007165; GO:0007268; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877	
RMX60601.1	A0A3M6V3V9	A0A3M6V3V9_9CNID	unreviewed	TPR_REGION domain-containing protein	pdam_00001366	Pocillopora damicornis	467			
KAB0344255.1	A0A5N3V575	A0A5N3V575_MUNMU	unreviewed	LisH domain-containing protein (Fragment)	FD754_021181	Muntiacus muntjak (Barking deer) (Indian muntjac)	552			
PFX30542.1	A0A2B4SPU7	A0A2B4SPU7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4712	Stylophora pistillata (Smooth cauliflower coral)	428			
RMX56301.1	A0A3M6URM1	A0A3M6URM1_9CNID	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)	pdam_00021644	Pocillopora damicornis	896	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	
RMX52195.1	A0A3M6UEZ8	A0A3M6UEZ8_9CNID	unreviewed	Uncharacterized protein	pdam_00024087	Pocillopora damicornis	533			
PFX12177.1	A0A2B4R736	A0A2B4R736_STYPI	unreviewed	Uncharacterized transposon-derived protein F54H12.3	F54H12.3 AWC38_SpisGene23901	Stylophora pistillata (Smooth cauliflower coral)	522	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX11580.1	A0A2B4R508	A0A2B4R508_STYPI	unreviewed	Neogenin	Neo1 AWC38_SpisGene24633	Stylophora pistillata (Smooth cauliflower coral)	916			
RMX41873.1	A0A3M6TKA8	A0A3M6TKA8_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00019624	Pocillopora damicornis	1129	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; activation of innate immune response [GO:0002218]	GO:0002218; GO:0003690; GO:0003723; GO:0008270	
PFX28559.1	A0A2B4SHG9	A0A2B4SHG9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6728	Stylophora pistillata (Smooth cauliflower coral)	1481	nucleic acid binding [GO:0003676]	GO:0003676	
PFX21225.1	A0A2B4RY98	A0A2B4RY98_STYPI	unreviewed	Gag-Pro-Pol polyprotein	AWC38_SpisGene14306	Stylophora pistillata (Smooth cauliflower coral)	375	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0004190; GO:0008270	
RMX51398.1	A0A3M6UD94	A0A3M6UD94_9CNID	unreviewed	eRF1_1 domain-containing protein (Fragment)	pdam_00020804	Pocillopora damicornis	323	nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]	GO:0070481; GO:0070966; GO:0071025	
PFX34959.1	A0A2B4T0M6	A0A2B4T0M6_STYPI	unreviewed	Amiloride-sensitive sodium channel subunit alpha	SCNN1A AWC38_SpisGene106	Stylophora pistillata (Smooth cauliflower coral)	514	integral component of membrane [GO:0016021]; sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	
RMX58719.1	A0A3M6UYR0	A0A3M6UYR0_9CNID	unreviewed	Vesicle-fusing ATPase (EC 3.6.4.6)	pdam_00009515	Pocillopora damicornis	687	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; protein transport [GO:0015031]; SNARE complex disassembly [GO:0035494]	GO:0005524; GO:0005737; GO:0015031; GO:0016887; GO:0035494; GO:0046872	
VEN42942.1	A0A653C4Y8	A0A653C4Y8_CALMS	unreviewed	Endonuclease (Reverse transcriptase)	CALMAC_LOCUS6253	Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid)	1125	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
VDD91553.1	A0A0N4V8P2	A0A0N4V8P2_ENTVE	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	EVEC_LOCUS6304	Enterobius vermicularis (Human pinworm)	203	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	GO:0003755; GO:0006457	
GCC27327.1	A0A401SA94	A0A401SA94_CHIPU	unreviewed	Macro domain-containing protein	chiPu_0005751	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	494			
RMX60729.1	A0A3M6V4F7	A0A3M6V4F7_9CNID	unreviewed	Uncharacterized protein	pdam_00006794	Pocillopora damicornis	231			
KAF0719733.1	A0A6G0W4H3	A0A6G0W4H3_APHCR	unreviewed	PiggyBac transposable element-derived protein 4-like	FWK35_00018699 FWK35_00029047	Aphis craccivora (Cowpea aphid)	639			
RMX47759.1	A0A3M6U2I2	A0A3M6U2I2_9CNID	unreviewed	Glutaminase (EC 3.5.1.2)	pdam_00011771	Pocillopora damicornis	515	glutaminase activity [GO:0004359]; glutamine metabolic process [GO:0006541]	GO:0004359; GO:0006541	
ELT88052.1	R7T4Q3	R7T4Q3_CAPTE	unreviewed	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	CAPTEDRAFT_93936	Capitella teleta (Polychaete worm)	919	ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; metal ion binding [GO:0046872]; NAD+ kinase activity [GO:0003951]; intracellular signal transduction [GO:0035556]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]	GO:0003951; GO:0004143; GO:0005524; GO:0007205; GO:0035556; GO:0046872	
PFX12362.1	A0A2B4R818	A0A2B4R818_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23699	Stylophora pistillata (Smooth cauliflower coral)	313			
PFX21970.1	A0A2B4RZJ0	A0A2B4RZJ0_STYPI	unreviewed	Uncharacterized transposon-derived protein F52C9.6	F52C9.6 AWC38_SpisGene13519	Stylophora pistillata (Smooth cauliflower coral)	1080			
RMX38580.1	A0A3M6TB09	A0A3M6TB09_9CNID	unreviewed	Uncharacterized protein	pdam_00008395	Pocillopora damicornis	1115	signaling [GO:0023052]	GO:0023052	
RMX41764.1	A0A3M6TKJ9	A0A3M6TKJ9_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00005541	Pocillopora damicornis	564	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
PFX15989.1	A0A2B4RGQ2	A0A2B4RGQ2_STYPI	unreviewed	Oncoprotein-induced transcript 3 protein	Oit3 AWC38_SpisGene19765	Stylophora pistillata (Smooth cauliflower coral)	772	extracellular matrix structural constituent [GO:0005201]	GO:0005201	
AWP03254.1	A0A2U9BH01	A0A2U9BH01_SCOMX	unreviewed	Putative EGF domain-specific O-linked N-acetylglucosamine transferase isoform 3	SMAX5B_014304	Scophthalmus maximus (Turbot) (Psetta maxima)	597	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016757	
EDO44462.1	A7RVW7	A7RVW7_NEMVE	unreviewed	Predicted protein (Fragment)	v1g36550	Nematostella vectensis (Starlet sea anemone)	176	endomembrane system [GO:0012505]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; intracellular protein transport [GO:0006886]; Rab protein signal transduction [GO:0032482]	GO:0003924; GO:0005525; GO:0006886; GO:0012505; GO:0032482	
RMX40243.1	A0A3M6TFS9	A0A3M6TFS9_9CNID	unreviewed	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	pdam_00014360	Pocillopora damicornis	318	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476	
PFX33587.1	A0A2B4SYS9	A0A2B4SYS9_STYPI	unreviewed	Dedicator of cytokinesis protein 9	Dock9 AWC38_SpisGene1527	Stylophora pistillata (Smooth cauliflower coral)	2176	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264	
EXX70986.1	A0A015LEJ5	A0A015LEJ5_RHIIW	unreviewed	SWIM-type domain-containing protein	RirG_082560	Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)	599	zinc ion binding [GO:0008270]	GO:0008270	
EDO37476.1	A7SFJ6	A7SFJ6_NEMVE	unreviewed	Predicted protein	v1g211503	Nematostella vectensis (Starlet sea anemone)	1175	cytoplasm [GO:0005737]; nucleus [GO:0005634]; polysome [GO:0005844]; mRNA binding [GO:0003729]	GO:0003729; GO:0005634; GO:0005737; GO:0005844	
PIK47860.1	A0A2G8KIR9	A0A2G8KIR9_STIJA	unreviewed	Uncharacterized protein	BSL78_15277	Stichopus japonicus (Sea cucumber)	683	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	
PFX28680.1	A0A2B4SIH7	A0A2B4SIH7_STYPI	unreviewed	Spondin-1	SPON1 AWC38_SpisGene6627	Stylophora pistillata (Smooth cauliflower coral)	324	integral component of membrane [GO:0016021]	GO:0016021	
RMX36620.1	A0A3M6T5F7	A0A3M6T5F7_9CNID	unreviewed	Uncharacterized protein	pdam_00014981	Pocillopora damicornis	761	regulation of apoptotic process [GO:0042981]	GO:0042981	
PFX25053.1	A0A2B4S7N2	A0A2B4S7N2_STYPI	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	AWC38_SpisGene10325	Stylophora pistillata (Smooth cauliflower coral)	444			
RMX49198.1	A0A3M6U6V1	A0A3M6U6V1_9CNID	unreviewed	Uncharacterized protein	pdam_00005862	Pocillopora damicornis	1189	catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0020037	
RMX55409.1	A0A3M6UP83	A0A3M6UP83_9CNID	unreviewed	DSBA domain-containing protein (Fragment)	pdam_00010144	Pocillopora damicornis	217	protein disulfide oxidoreductase activity [GO:0015035]	GO:0015035	
RUA05978.1	A0A432I785	A0A432I785_9GAMM	unreviewed	Reverse transcriptase domain-containing protein	DSY43_03220	Gammaproteobacteria bacterium	637			
PFX34288.1	A0A2B4T0H3	A0A2B4T0H3_STYPI	unreviewed	Gamma-aminobutyric acid type B receptor subunit 2	GABBR2 AWC38_SpisGene809	Stylophora pistillata (Smooth cauliflower coral)	807	integral component of membrane [GO:0016021]; G protein-coupled GABA receptor activity [GO:0004965]	GO:0004965; GO:0016021	
KAE8293515.1	A0A6G0IPR4	A0A6G0IPR4_LARCR	unreviewed	Ubiquitin-conjugating enzyme E2 T	D5F01_LYC08627	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	410			
PFX26979.1	A0A2B4SD08	A0A2B4SD08_STYPI	unreviewed	Reverse transcriptase domain-containing protein	AWC38_SpisGene8346	Stylophora pistillata (Smooth cauliflower coral)	915			
SGY86418.1	A0A2X0N151	A0A2X0N151_9BASI	unreviewed	BQ5605_C009g05816 protein	BQ5605_C009g05816 BQ5605_C009G05816	Microbotryum silenes-dioicae	276			
KNZ54479.1	A0A0L6V163	A0A0L6V163_9BASI	unreviewed	Reverse transcriptase	VP01_2937g1	Puccinia sorghi	885	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
TQV89916.1	A0A545UKC7	A0A545UKC7_9HYPO	unreviewed	Reverse transcriptase (RNA-dependent DNA polymerase) domain-containing protein	IF1G_11419	Cordyceps javanica	970	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX18999.1	A0A2B4RQC3	A0A2B4RQC3_STYPI	unreviewed	Sterile alpha motif domain-containing protein 9-like	Samd9l AWC38_SpisGene16609	Stylophora pistillata (Smooth cauliflower coral)	1632			
EFN79743.1	E2BX24	E2BX24_HARSA	unreviewed	Protein downstream neighbor of son-like protein (Fragment)	EAI_16320	Harpegnathos saltator (Jerdon's jumping ant)	571			
PFX28233.1	A0A2B4SGN7	A0A2B4SGN7_STYPI	unreviewed	Serologically defined colon cancer antigen 8-like	Sdccag8 AWC38_SpisGene7060	Stylophora pistillata (Smooth cauliflower coral)	1307	centrosome [GO:0005813]; centrosome cycle [GO:0007098]	GO:0005813; GO:0007098	
